Module,ComponentType,Size,Unit,Group,Type,SearchParameter,SearchValue,ReturnAttribute,ReturnValue,StartDate,CreationDate
All,,,,Installation,Tax,USState,LOUISIANA,StateTaxRate,0.0945,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,MAINE,StateTaxRate,0,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,MARYLAND,StateTaxRate,0,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,MASSACHUSSETS,StateTaxRate,0.0625,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,MICHIGAN,StateTaxRate,0.06,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,MINNESOTA,StateTaxRate,0.0743,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,MISSISSIPPI,StateTaxRate,0,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,MISSOURI,StateTaxRate,0.0813,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,MONTANA,StateTaxRate,0,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,NEBRASKA,StateTaxRate,0,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,NEVADA,StateTaxRate,0.0814,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,NEW HAMPSHIRE,StateTaxRate,0,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,NEW JERSEY,StateTaxRate,0.066,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,NEW MEXICO,StateTaxRate,0,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,NEW YORK,StateTaxRate,0.0849,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,NORTH CAROLINA,StateTaxRate,0.0697,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,NORTH DAKOTA,StateTaxRate,0.0685,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,OHIO,StateTaxRate,0,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,OKLAHOMA,StateTaxRate,0.0892,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,OREGON,StateTaxRate,0,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,PENNSYLVANIA,StateTaxRate,0.0634,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,RHODE ISLAND,StateTaxRate,0,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,SOUTH CAROLINA,StateTaxRate,0.0743,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,SOUTH DAHOTA,StateTaxRate,0.064,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,TENNESSEE,StateTaxRate,0.0947,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,TEXAS,StateTaxRate,0.0819,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,UTAH,StateTaxRate,0,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,VERMONT,StateTaxRate,0,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,VIRGINIA,StateTaxRate,0.0565,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,WASHINGTON,StateTaxRate,0,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,"WASHINGTON, D.C.",StateTaxRate,0.06,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,WEST VIRGINIA,StateTaxRate,0.0639,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,WISCONSIN,StateTaxRate,0.0544,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,WYOMING,StateTaxRate,0,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,Non-U.S. State,StateTaxRate,0,1/1/1900,1/1/1900
All,,,,,,,,OutsideEquipmentPercentage,0.2,1/1/1900,1/1/1900
All,,,,,,,,SoundAttenuation3UpgradeMargin,0.4,1/1/1900,1/1/1900
All,,,,Installation,Labor,,,EPCConstructionSiteFullRate,40.07988,1/1/1900,1/1/1900
All,,,,,,,,Margin,0.35,1/1/1900,1/1/1900
All,,,,,,,,PadsCostTaxablePercentage,0.4,1/1/1900,1/1/1900
All,,,,,,,,CubicFeetPerCubicYard,27,1/1/1900,1/1/1900
All,,,,,Tax,USState,ALABAMA,StateEquipmentSalesTax,0.0914,1/1/1900,1/1/1900
All,,,,,Tax,USState,ALASKA,StateEquipmentSalesTax,0.0143,1/1/1900,1/1/1900
All,,,,,Tax,USState,ARIZONA,StateEquipmentSalesTax,0.0837,1/1/1900,1/1/1900
All,,,,,Tax,USState,ARKANSAS,StateEquipmentSalesTax,0.0943,1/1/1900,1/1/1900
All,,,,,Tax,USState,CALIFORNIA,StateEquipmentSalesTax,0.0856,1/1/1900,1/1/1900
All,,,,,Tax,USState,COLORADO,StateEquipmentSalesTax,0.0763,1/1/1900,1/1/1900
All,,,,,Tax,USState,CONNECTICUT,StateEquipmentSalesTax,0.0635,1/1/1900,1/1/1900
All,,,,,Tax,USState,DELAWARE,StateEquipmentSalesTax,0,1/1/1900,1/1/1900
All,,,,,Tax,USState,FLORIDA,StateEquipmentSalesTax,0.0705,1/1/1900,1/1/1900
All,,,,,Tax,USState,GEORGIA,StateEquipmentSalesTax,0.0729,1/1/1900,1/1/1900
All,,,,,Tax,USState,HAWAII,StateEquipmentSalesTax,0.0441,1/1/1900,1/1/1900
All,,,,,Tax,USState,IDAHO,StateEquipmentSalesTax,0.0603,1/1/1900,1/1/1900
All,,,,,Tax,USState,ILLINOIS,StateEquipmentSalesTax,0.0874,1/1/1900,1/1/1900
All,,,,,Tax,USState,INDIANA,StateEquipmentSalesTax,0.07,1/1/1900,1/1/1900
All,,,,,Tax,USState,IOWA,StateEquipmentSalesTax,0.0682,1/1/1900,1/1/1900
All,,,,,Tax,USState,KANSAS,StateEquipmentSalesTax,0.0867,1/1/1900,1/1/1900
All,,,,,Tax,USState,KENTUCKY,StateEquipmentSalesTax,0.06,1/1/1900,1/1/1900
All,,,,,Tax,USState,LOUISIANA,StateEquipmentSalesTax,0.0945,1/1/1900,1/1/1900
All,,,,,Tax,USState,MAINE,StateEquipmentSalesTax,0.055,1/1/1900,1/1/1900
All,,,,,Tax,USState,MARYLAND,StateEquipmentSalesTax,0.06,1/1/1900,1/1/1900
All,,,,,Tax,USState,MASSACHUSSETS,StateEquipmentSalesTax,0.0625,1/1/1900,1/1/1900
All,,,,,Tax,USState,MICHIGAN,StateEquipmentSalesTax,0.06,1/1/1900,1/1/1900
All,,,,,Tax,USState,MINNESOTA,StateEquipmentSalesTax,0.0743,1/1/1900,1/1/1900
All,,,,,Tax,USState,MISSISSIPPI,StateEquipmentSalesTax,0.0707,1/1/1900,1/1/1900
All,,,,,Tax,USState,MISSOURI,StateEquipmentSalesTax,0.0813,1/1/1900,1/1/1900
All,,,,,Tax,USState,MONTANA,StateEquipmentSalesTax,0,1/1/1900,1/1/1900
All,,,,,Tax,USState,NEBRASKA,StateEquipmentSalesTax,0.0685,1/1/1900,1/1/1900
All,,,,,Tax,USState,NEVADA,StateEquipmentSalesTax,0.0814,1/1/1900,1/1/1900
All,,,,,Tax,USState,NEW HAMPSHIRE,StateEquipmentSalesTax,0,1/1/1900,1/1/1900
All,,,,,Tax,USState,NEW JERSEY,StateEquipmentSalesTax,0.066,1/1/1900,1/1/1900
All,,,,,Tax,USState,NEW MEXICO,StateEquipmentSalesTax,0.0782,1/1/1900,1/1/1900
All,,,,,Tax,USState,NEW YORK,StateEquipmentSalesTax,0.0849,1/1/1900,1/1/1900
All,,,,,Tax,USState,NORTH CAROLINA,StateEquipmentSalesTax,0.0697,1/1/1900,1/1/1900
All,,,,,Tax,USState,NORTH DAKOTA,StateEquipmentSalesTax,0.0685,1/1/1900,1/1/1900
All,,,,,Tax,USState,OHIO,StateEquipmentSalesTax,0.0717,1/1/1900,1/1/1900
All,,,,,Tax,USState,OKLAHOMA,StateEquipmentSalesTax,0.0892,1/1/1900,1/1/1900
All,,,,,Tax,USState,OREGON,StateEquipmentSalesTax,0,1/1/1900,1/1/1900
All,,,,,Tax,USState,PENNSYLVANIA,StateEquipmentSalesTax,0.0634,1/1/1900,1/1/1900
All,,,,,Tax,USState,RHODE ISLAND,StateEquipmentSalesTax,0.07,1/1/1900,1/1/1900
All,,,,,Tax,USState,SOUTH CAROLINA,StateEquipmentSalesTax,0.0743,1/1/1900,1/1/1900
All,,,,,Tax,USState,SOUTH DAHOTA,StateEquipmentSalesTax,0.064,1/1/1900,1/1/1900
All,,,,,Tax,USState,TENNESSEE,StateEquipmentSalesTax,0.0947,1/1/1900,1/1/1900
All,,,,,Tax,USState,TEXAS,StateEquipmentSalesTax,0.0819,1/1/1900,1/1/1900
All,,,,,Tax,USState,UTAH,StateEquipmentSalesTax,0.0694,1/1/1900,1/1/1900
All,,,,,Tax,USState,VERMONT,StateEquipmentSalesTax,0.0618,1/1/1900,1/1/1900
All,,,,,Tax,USState,VIRGINIA,StateEquipmentSalesTax,0.0565,1/1/1900,1/1/1900
All,,,,,Tax,USState,WASHINGTON,StateEquipmentSalesTax,0.0917,1/1/1900,1/1/1900
All,,,,,Tax,USState,"WASHINGTON, D.C.",StateEquipmentSalesTax,0.06,1/1/1900,1/1/1900
All,,,,,Tax,USState,WEST VIRGINIA,StateEquipmentSalesTax,0.0639,1/1/1900,1/1/1900
All,,,,,Tax,USState,WISCONSIN,StateEquipmentSalesTax,0.0544,1/1/1900,1/1/1900
All,,,,,Tax,USState,WYOMING,StateEquipmentSalesTax,0.0536,1/1/1900,1/1/1900
All,,,,,Tax,USState,Non-U.S. State,StateEquipmentSalesTax,0,1/1/1900,1/1/1900
